No.;Fecha inicial corte;Fecha final corte;Departamento;Municipio;Comunidad (Si aplica);Clasificacion;Tema;Subtema;Tipo de dato (medida);No. De personas/porcentaje/eventos;No. De mujeres mayores de edad;No. De hombres mayores de edad;No. De mujeres menores de edad;No. De hombres menores de edad;Madres gestantes;Grupo etnico;Si es indigena indique pueblo;Texto descriptivo;Link informacion;Link Registro fotografico;Observacion
1;6/03/20;29/08/21;AMAZONAS;EL ENCANTO (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;11;3;7;1;0;No indica;No indica;No indica;En el municipio de EL ENCANTO (CD) se tiene un total de Contagio 11;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
2;6/03/20;29/08/21;AMAZONAS;LA CHORRERA (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;30;5;23;0;2;No indica;No indica;No indica;En el municipio de LA CHORRERA (CD) se tiene un total de Contagio 30;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
3;6/03/20;29/08/21;AMAZONAS;LA PEDRERA (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;103;47;40;9;7;No indica;No indica;No indica;En el municipio de LA PEDRERA (CD) se tiene un total de Contagio 103;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
4;6/03/20;29/08/21;AMAZONAS;LA VICTORIA (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;1;0;1;0;0;No indica;No indica;No indica;En el municipio de LA VICTORIA (CD) se tiene un total de Contagio 1;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
5;6/03/20;29/08/21;AMAZONAS;LETICIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;6370;2577;3062;335;396;No indica;No indica;No indica;En el municipio de LETICIA se tiene un total de Contagio 6370;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
6;6/03/20;29/08/21;AMAZONAS;MIRITI PARANA (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;11;4;7;0;0;No indica;No indica;No indica;En el municipio de MIRITI PARANA (CD) se tiene un total de Contagio 11;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
7;6/03/20;29/08/21;AMAZONAS;PUERTO ALEGRIA (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;1;0;1;0;0;No indica;No indica;No indica;En el municipio de PUERTO ALEGRIA (CD) se tiene un total de Contagio 1;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
8;6/03/20;29/08/21;AMAZONAS;PUERTO ARICA (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;3;2;1;0;0;No indica;No indica;No indica;En el municipio de PUERTO ARICA (CD) se tiene un total de Contagio 3;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
9;6/03/20;29/08/21;AMAZONAS;PUERTO NARINO;No indica;Analisis situacional;COVID 19;Contagio;Numero;178;57;103;10;8;No indica;No indica;No indica;En el municipio de PUERTO NARINO se tiene un total de Contagio 178;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
10;6/03/20;29/08/21;AMAZONAS;PUERTO SANTANDER (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;7;4;1;1;1;No indica;No indica;No indica;En el municipio de PUERTO SANTANDER (CD) se tiene un total de Contagio 7;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
